Wavelength (nm);Frequency (PHz);Spectrum (arb. u.)
1216.06769;0.24653;0.39644
1216.8566;0.24637;0.36875
1217.64543;0.24621;0.39254
1218.43417;0.24605;0.42487
1219.22282;0.24589;0.46693
1220.01139;0.24573;0.45348
1220.79986;0.24557;0.51202
1221.58825;0.24541;0.59011
1222.37655;0.24525;0.52574
1223.16476;0.2451;0.49065
1223.95288;0.24494;0.51497
1224.74091;0.24478;0.50525
1225.52886;0.24462;0.39184
1226.31672;0.24447;0.46821
1227.10449;0.24431;0.5224
1227.89217;0.24415;0.55797
1228.67976;0.244;0.45941
1229.46727;0.24384;0.44525
1230.25468;0.24368;0.42405
1231.04201;0.24353;0.44162
1231.82925;0.24337;0.38642
1232.6164;0.24322;0.47153
1233.40347;0.24306;0.49315
